time_step,scenario,density,stability,route_score,our_delay,our_jitter,our_pdr,our_throughput,our_overhead,our_travel_time,our_congestion,aodv_delay,aodv_jitter,aodv_pdr,aodv_throughput,aodv_overhead,aodv_travel_time,aodv_congestion
0,high,1,0.6877,0.7341,0.02412,0.01588,0.9402,0.0385,1.51,42.29,0.0053,0.11925,0.00075,0.7975,0.0327,3.67,59.67,0.0088
10,high,1,0.4968,0.6768,0.03043,0.00631,0.9411,0.0385,1.78,42.65,0.0055,0.12261,0.00336,0.8022,0.0329,3.31,65.28,0.0255
20,high,2,0.6236,0.6982,0.02672,0.00371,0.9344,0.0765,3.3,41.66,0.011,0.14691,0.0243,0.7544,0.0618,6.26,61.28,0.0029
30,high,3,0.5937,0.6725,0.03524,0.00852,0.9388,0.1154,5.88,43.61,0.0163,0.14417,0.00273,0.791,0.0972,10.38,60.74,0.0299
40,high,1,0.6195,0.7136,0.02239,0.01285,0.9562,0.0392,1.63,42.91,0.0056,0.13163,0.01254,0.7544,0.0309,3.13,57.76,-0.0055
50,high,4,0.6869,0.6838,0.02836,0.00597,0.9273,0.1519,7.64,44.76,0.0223,0.14447,0.01284,0.7603,0.1246,12.16,63.11,0.0397
60,high,5,0.6533,0.6571,0.03447,0.00611,0.9335,0.1912,9.06,43.01,0.0263,0.14872,0.00426,0.7685,0.1574,17.28,68.83,0.0598
70,high,6,0.7114,0.6579,0.03488,0.00041,0.9352,0.2298,10.76,45.97,0.0324,0.14076,0.00797,0.7204,0.1771,15.67,65.39,0.0403
80,high,5,0.6644,0.6604,0.02537,0.00951,0.9341,0.1913,9.21,45.13,0.0264,0.14326,0.0025,0.7991,0.1637,18.0,63.27,0.0471
90,high,7,0.6533,0.6238,0.02755,0.00219,0.9341,0.2678,12.61,46.79,0.0385,0.13156,0.01169,0.784,0.2248,24.13,63.74,0.0518
100,high,9,0.707,0.6065,0.02906,0.0015,0.921,0.3395,15.53,45.5,0.0478,0.12014,0.01143,0.7615,0.2807,35.12,64.76,0.068
110,high,10,0.6836,0.5829,0.0356,0.00654,0.9219,0.3776,18.55,49.05,0.0527,0.1406,0.02046,0.7281,0.2982,30.31,69.95,0.0892
120,high,10,0.5818,0.5523,0.03181,0.00378,0.9029,0.3698,20.08,48.37,0.0545,0.14099,0.00039,0.7832,0.3208,32.32,69.27,0.0741
130,high,10,0.6324,0.5675,0.03621,0.00439,0.9078,0.3718,21.21,45.96,0.0552,0.13373,0.00726,0.7639,0.3129,32.6,68.93,0.0636
140,high,10,0.6206,0.564,0.02563,0.01057,0.9096,0.3726,17.28,48.35,0.0549,0.15089,0.01715,0.7552,0.3093,26.72,71.39,0.0716
150,high,14,0.7392,0.5329,0.03487,0.00924,0.9099,0.5218,25.85,51.3,0.0764,0.12135,0.02953,0.7279,0.4174,49.63,70.8,0.1028
160,high,13,0.6506,0.523,0.03011,0.00477,0.9065,0.4827,27.4,49.72,0.0722,0.11771,0.00364,0.7277,0.3875,37.36,66.46,0.1058
170,high,14,0.6281,0.4995,0.03534,0.00524,0.9103,0.522,26.71,50.91,0.0737,0.1109,0.00681,0.7281,0.4175,45.03,66.32,0.1354
180,high,14,0.6563,0.508,0.03203,0.00332,0.906,0.5195,28.78,48.76,0.0767,0.14523,0.03433,0.716,0.4106,42.03,75.02,0.1016
190,high,16,0.6826,0.4826,0.03601,0.00399,0.9057,0.5935,35.87,49.92,0.0877,0.1484,0.00317,0.73,0.4784,44.74,72.38,0.134
200,high,16,0.6849,0.4832,0.02829,0.00773,0.9,0.5898,36.09,52.55,0.0877,0.14706,0.00134,0.7207,0.4723,48.08,75.13,0.1153
210,high,17,0.6713,0.4625,0.03642,0.00814,0.8916,0.6208,31.91,51.77,0.094,0.16838,0.02132,0.7193,0.5009,55.66,71.27,0.1288
220,high,18,0.7183,0.4599,0.03569,0.00073,0.898,0.6621,32.7,51.01,0.0951,0.17049,0.00211,0.7242,0.5339,48.86,78.75,0.1469
230,high,19,0.7027,0.4386,0.0362,0.00051,0.8967,0.6978,38.11,52.65,0.1045,0.15475,0.01574,0.7228,0.5625,75.36,77.2,0.1717
240,high,20,0.6433,0.4041,0.03488,0.00132,0.888,0.7274,39.33,55.02,0.1086,0.15913,0.00438,0.7199,0.5897,70.1,76.16,0.1699
250,high,22,0.6988,0.3874,0.0363,0.00142,0.8856,0.7981,52.28,54.89,0.1215,0.15149,0.00764,0.7226,0.6512,55.75,79.9,0.201
260,high,22,0.7372,0.3989,0.03361,0.0027,0.8958,0.8072,44.95,54.18,0.1191,0.16941,0.01793,0.7082,0.6381,55.79,76.45,0.1696
270,high,22,0.6596,0.3757,0.03595,0.00235,0.8961,0.8075,44.65,55.97,0.1207,0.16424,0.00518,0.7038,0.6342,82.84,82.52,0.1938
280,high,22,0.7065,0.3897,0.03322,0.00273,0.9061,0.8165,44.22,56.21,0.1185,0.13683,0.0274,0.7082,0.6382,66.36,80.7,0.1881
290,high,22,0.6698,0.3787,0.03325,3e-05,0.8824,0.7951,50.29,53.77,0.1212,0.17493,0.0381,0.6948,0.6261,79.38,76.67,0.1793
300,high,24,0.6706,0.3456,0.04237,0.00912,0.8764,0.8616,52.44,56.79,0.1287,0.17476,0.00017,0.7093,0.6972,80.82,81.69,0.1974
310,high,25,0.6719,0.3293,0.03513,0.00724,0.8712,0.8921,53.56,55.88,0.1393,0.18347,0.0087,0.7186,0.7358,77.47,83.25,0.207
320,high,27,0.7127,0.3082,0.03326,0.00187,0.8734,0.9659,60.31,55.69,0.1479,0.17563,0.00784,0.7084,0.7834,73.32,81.02,0.2072
330,high,27,0.6479,0.2888,0.03553,0.00227,0.883,0.9765,59.66,57.07,0.1506,0.15709,0.01854,0.6936,0.7671,68.53,81.24,0.2164
340,high,27,0.7144,0.3087,0.03532,0.00021,0.8659,0.9576,67.07,59.41,0.1453,0.16143,0.00434,0.7315,0.809,104.86,77.64,0.229
350,high,28,0.6799,0.2984,0.04201,0.00668,0.8728,1.001,61.17,58.67,0.1515,0.15381,0.00762,0.7223,0.8284,70.88,80.09,0.2355
360,high,30,0.6971,0.3036,0.02834,0.01367,0.8733,1.0731,66.61,56.82,0.1604,0.15663,0.00282,0.6945,0.8534,87.69,87.85,0.2436
370,high,31,0.6765,0.2974,0.03514,0.0068,0.862,1.0945,77.06,60.7,0.1648,0.1514,0.00522,0.6696,0.8503,78.92,80.4,0.2781
380,high,30,0.718,0.3098,0.03395,0.00119,0.8733,1.0732,67.42,56.97,0.1604,0.18496,0.03356,0.6961,0.8553,107.03,79.69,0.2425
390,high,33,0.7039,0.3056,0.03688,0.00293,0.8685,1.174,75.08,59.65,0.1758,0.17294,0.01202,0.6659,0.9001,104.06,84.53,0.28
400,high,32,0.742,0.317,0.03944,0.00256,0.8693,1.1394,77.64,60.28,0.1775,0.19075,0.0178,0.6761,0.8862,109.49,89.8,0.2564
410,high,32,0.6741,0.2967,0.03933,0.00011,0.8743,1.146,70.95,58.27,0.1682,0.19495,0.0042,0.7479,0.9803,100.96,83.34,0.2678
420,high,34,0.7583,0.3219,0.0308,0.00853,0.8881,1.2368,82.6,59.6,0.1872,0.21533,0.02038,0.6774,0.9433,100.1,90.64,0.269
430,high,35,0.7341,0.3147,0.04362,0.01282,0.8632,1.2375,74.41,63.99,0.1861,0.21441,0.00091,0.679,0.9734,113.6,87.41,0.2782
440,high,35,0.6594,0.2923,0.0427,0.00092,0.8536,1.2238,81.15,61.76,0.1943,0.18715,0.02726,0.6613,0.948,114.71,91.71,0.2845
450,high,38,0.7156,0.3091,0.03699,0.00572,0.8611,1.3403,89.03,63.53,0.2121,0.19944,0.0123,0.6909,1.0753,138.46,86.11,0.3175
