time_step,scenario,density,stability,route_score,our_delay,our_jitter,our_pdr,our_throughput,our_overhead,our_travel_time,our_congestion,aodv_delay,aodv_jitter,aodv_pdr,aodv_throughput,aodv_overhead,aodv_travel_time,aodv_congestion
0,low,1,0.5865,0.7037,0.02282,0.01718,0.9407,0.0385,1.64,41.15,0.0054,0.13129,0.01129,0.8143,0.0334,3.93,65.19,0.0234
10,low,1,0.6891,0.7345,0.01759,0.00523,0.943,0.0386,1.78,44.19,0.0053,0.15853,0.02724,0.8086,0.0331,3.08,56.06,0.0168
20,low,1,0.6256,0.7154,0.03133,0.01374,0.9479,0.0388,1.47,40.93,0.0054,0.10007,0.05846,0.7948,0.0326,3.84,62.15,0.0269
30,low,1,0.6979,0.7371,0.03143,0.0001,0.9407,0.0385,1.7,40.74,0.0056,0.14707,0.04701,0.7667,0.0314,3.86,61.03,0.0251
40,low,1,0.5557,0.6945,0.02196,0.00947,0.9375,0.0384,1.78,43.26,0.0054,0.12208,0.02499,0.7541,0.0309,2.84,56.86,0.0189
50,low,1,0.5778,0.7011,0.02442,0.00246,0.9311,0.0381,1.87,43.22,0.0055,0.11011,0.01197,0.7934,0.0325,3.75,60.27,0.0037
60,low,1,0.6518,0.7233,0.01967,0.00475,0.9425,0.0386,1.92,42.8,0.0054,0.13024,0.02013,0.781,0.032,3.52,57.69,0.0116
70,low,1,0.6356,0.7185,0.03652,0.01684,0.9354,0.0383,1.51,42.75,0.0055,0.14034,0.0101,0.7772,0.0318,3.12,63.81,0.0141
80,low,2,0.64,0.7031,0.02582,0.01069,0.9332,0.0764,3.33,42.56,0.0111,0.1354,0.00494,0.7527,0.0617,7.62,61.65,0.0307
90,low,1,0.6948,0.7362,0.03083,0.00501,0.9575,0.0392,1.54,43.16,0.0053,0.16087,0.02547,0.7789,0.0319,2.79,59.77,0.0042
100,low,1,0.5936,0.7059,0.02125,0.00958,0.9371,0.0384,1.59,42.61,0.0055,0.13179,0.02908,0.774,0.0317,3.83,65.08,0.0183
110,low,1,0.6435,0.7208,0.03346,0.0122,0.9596,0.0393,1.46,41.13,0.0056,0.12134,0.01045,0.7493,0.0307,3.87,61.71,0.0016
120,low,2,0.702,0.7217,0.02849,0.00497,0.934,0.0765,3.2,44.18,0.0107,0.14065,0.0193,0.7622,0.0624,6.12,61.1,-0.0031
130,low,1,0.6017,0.7083,0.0341,0.00561,0.9397,0.0385,1.82,43.2,0.0054,0.10932,0.03132,0.7536,0.0309,2.98,59.15,-0.0039
140,low,2,0.4917,0.6586,0.02817,0.00593,0.9363,0.0767,3.59,41.9,0.0108,0.09796,0.01136,0.7837,0.0642,6.48,57.73,0.0296
150,low,1,0.6685,0.7283,0.03195,0.00379,0.927,0.038,1.8,42.57,0.0054,0.12169,0.02373,0.7907,0.0324,2.52,64.77,0.0007
160,low,2,0.5371,0.6722,0.03222,0.00026,0.9254,0.0758,3.86,41.7,0.0105,0.1328,0.01111,0.8036,0.0658,6.58,61.75,0.0062
170,low,3,0.5818,0.669,0.02195,0.01027,0.9313,0.1144,4.73,43.77,0.0158,0.12424,0.00856,0.7843,0.0964,10.46,58.72,0.0355
180,low,1,0.5779,0.7011,0.03832,0.01637,0.9479,0.0388,1.81,40.96,0.0056,0.10002,0.02422,0.7783,0.0319,2.63,59.35,0.0023
190,low,4,0.6651,0.6773,0.02554,0.01278,0.9295,0.1523,7.14,44.69,0.0217,0.13045,0.03043,0.8111,0.1329,13.81,60.35,0.0526
200,low,4,0.6675,0.678,0.02701,0.00147,0.9348,0.1532,7.86,45.66,0.0211,0.11648,0.01396,0.7847,0.1286,10.09,63.21,0.0484
210,low,4,0.6783,0.6813,0.02984,0.00283,0.9312,0.1526,7.69,43.69,0.0218,0.15521,0.03873,0.7818,0.1281,10.99,61.25,0.0309
220,low,3,0.6971,0.7036,0.02534,0.00451,0.947,0.1164,5.59,41.81,0.0159,0.1336,0.0216,0.7361,0.0905,11.79,65.66,0.0136
230,low,3,0.7026,0.7052,0.02325,0.00209,0.9415,0.1157,5.14,43.45,0.0167,0.11864,0.01496,0.7531,0.0925,9.48,63.41,0.0073
240,low,2,0.7028,0.7219,0.02989,0.00664,0.9401,0.077,3.51,44.36,0.011,0.12222,0.00358,0.7565,0.062,6.28,59.65,0.0063
250,low,6,0.7009,0.6547,0.03585,0.00596,0.9371,0.2303,10.23,45.7,0.0318,0.12022,0.002,0.7388,0.1816,22.75,67.58,0.0437
260,low,4,0.7172,0.6929,0.02685,0.00899,0.9319,0.1527,7.57,45.8,0.0223,0.1274,0.00717,0.7591,0.1244,11.39,65.3,0.0173
270,low,5,0.6822,0.6658,0.0315,0.00465,0.9393,0.1924,9.55,45.69,0.0267,0.14727,0.01987,0.7467,0.1529,19.18,66.51,0.0322
280,low,4,0.6746,0.6802,0.03113,0.00037,0.9375,0.1536,7.68,42.62,0.0213,0.11563,0.03164,0.7702,0.1262,15.38,60.83,0.0345
290,low,4,0.7262,0.6956,0.02981,0.00133,0.9341,0.153,5.86,42.77,0.0214,0.09824,0.01739,0.7592,0.1244,12.1,63.84,0.0369
300,low,4,0.6381,0.6692,0.02928,0.00053,0.9487,0.1554,6.85,44.0,0.0213,0.11192,0.01368,0.76,0.1245,11.88,67.14,0.0276
310,low,4,0.6238,0.6649,0.03009,0.00081,0.9318,0.1527,7.39,44.21,0.0215,0.13531,0.02339,0.7534,0.1234,11.38,62.0,0.0432
320,low,3,0.6236,0.6815,0.02664,0.00345,0.9426,0.1158,4.5,41.9,0.0164,0.10217,0.03315,0.778,0.0956,9.53,64.21,0.0411
330,low,6,0.6329,0.6343,0.03146,0.00482,0.9202,0.2261,12.17,47.17,0.0317,0.11547,0.0133,0.7943,0.1952,17.67,66.87,0.0387
340,low,6,0.5842,0.6197,0.03109,0.00037,0.9274,0.2279,10.11,44.05,0.0333,0.10835,0.00712,0.7529,0.185,20.15,60.64,0.0581
350,low,7,0.5245,0.5851,0.02747,0.00362,0.924,0.2649,14.61,45.85,0.0382,0.13859,0.03024,0.7833,0.2246,24.77,69.56,0.0582
360,low,6,0.6624,0.6432,0.0256,0.00187,0.9231,0.2269,9.93,45.41,0.0317,0.10058,0.038,0.7294,0.1793,22.95,69.74,0.0604
370,low,4,0.6108,0.661,0.02907,0.00348,0.9348,0.1532,6.2,44.94,0.0218,0.09476,0.00583,0.7594,0.1244,14.01,66.99,0.0528
380,low,6,0.7034,0.6555,0.02238,0.00669,0.9219,0.2266,9.64,46.45,0.0324,0.13263,0.03787,0.7588,0.1865,20.65,66.65,0.0307
390,low,6,0.6815,0.6489,0.03602,0.01363,0.9302,0.2286,11.72,44.64,0.0322,0.13635,0.00372,0.7619,0.1872,20.46,60.83,0.0358
400,low,5,0.5365,0.6221,0.03298,0.00303,0.9126,0.1869,8.97,45.4,0.0266,0.14038,0.00403,0.7797,0.1597,17.98,60.21,0.0564
410,low,4,0.6893,0.6846,0.02786,0.00512,0.9234,0.1513,6.03,45.85,0.0214,0.13502,0.00536,0.7443,0.1219,12.8,61.59,0.0384
420,low,6,0.6081,0.6269,0.03408,0.00622,0.9312,0.2288,10.1,44.19,0.0317,0.15054,0.01552,0.736,0.1809,16.55,62.7,0.0354
430,low,6,0.5427,0.6073,0.03057,0.00351,0.9193,0.2259,10.48,45.62,0.0325,0.15808,0.00753,0.7428,0.1825,22.98,68.28,0.0532
440,low,8,0.5896,0.588,0.03171,0.00114,0.9198,0.3014,15.06,47.97,0.0436,0.12086,0.03722,0.7547,0.2473,25.47,65.3,0.0618
450,low,6,0.6532,0.6404,0.03723,0.00552,0.9221,0.2266,9.63,46.64,0.0334,0.13674,0.01588,0.7457,0.1833,22.11,62.72,0.0349
460,low,7,0.6466,0.6217,0.02874,0.0085,0.9213,0.2642,12.98,45.23,0.0379,0.1443,0.00756,0.7503,0.2151,26.83,60.64,0.0743
470,low,8,0.6734,0.6131,0.03399,0.00526,0.9204,0.3016,14.51,45.71,0.0434,0.12295,0.02134,0.738,0.2418,24.08,67.14,0.0493
480,low,8,0.6283,0.5996,0.02941,0.00459,0.9218,0.3021,14.17,46.06,0.0434,0.12824,0.00529,0.7833,0.2567,30.46,63.97,0.0858
490,low,7,0.6938,0.6359,0.02716,0.00225,0.9311,0.267,11.67,46.91,0.0374,0.1477,0.01946,0.7572,0.2171,24.6,64.22,0.0721
500,low,7,0.5582,0.5952,0.02854,0.00138,0.9282,0.2661,13.94,46.34,0.0382,0.13775,0.00995,0.7431,0.2131,19.19,65.47,0.0741
510,low,7,0.6949,0.6362,0.03414,0.0056,0.9176,0.2631,13.07,46.98,0.0374,0.12054,0.01721,0.7585,0.2175,23.14,67.16,0.0467
520,low,8,0.6543,0.6074,0.0366,0.00246,0.9353,0.3065,16.0,45.92,0.0442,0.13696,0.01642,0.7524,0.2465,23.21,63.05,0.0578
530,low,9,0.7809,0.6287,0.03458,0.00201,0.9176,0.3383,15.99,45.15,0.0473,0.11065,0.02631,0.7753,0.2858,29.02,66.84,0.0936
540,low,7,0.6873,0.634,0.03176,0.00282,0.929,0.2664,11.95,45.22,0.0375,0.11189,0.00124,0.7652,0.2194,22.86,64.95,0.054
550,low,9,0.6215,0.5809,0.02834,0.00342,0.9253,0.3411,16.53,46.27,0.0487,0.11821,0.00633,0.7574,0.2792,27.35,62.28,0.0934
560,low,9,0.6029,0.5753,0.03161,0.00328,0.9183,0.3385,16.22,48.11,0.0501,0.12742,0.0092,0.7462,0.2751,23.86,65.1,0.0871
570,low,10,0.7131,0.5917,0.03212,0.0005,0.9178,0.3759,16.22,46.19,0.0545,0.12101,0.00641,0.7406,0.3033,38.36,68.73,0.0914
580,low,9,0.696,0.6032,0.02704,0.00507,0.9299,0.3428,15.47,46.97,0.0475,0.13707,0.01606,0.7401,0.2728,31.09,64.91,0.0657
590,low,10,0.6475,0.572,0.03102,0.00398,0.9285,0.3803,16.95,48.38,0.0536,0.16127,0.0242,0.7911,0.324,38.81,67.15,0.0666
600,low,9,0.6512,0.5898,0.03493,0.00391,0.9101,0.3355,14.8,48.37,0.0486,0.14542,0.01585,0.7488,0.276,24.49,64.22,0.0558
610,low,9,0.6659,0.5942,0.03746,0.00252,0.9191,0.3388,15.15,48.41,0.0477,0.13784,0.00758,0.7186,0.2649,35.77,64.89,0.0915
620,low,10,0.6564,0.5747,0.03426,0.00319,0.9063,0.3712,18.32,48.0,0.0526,0.14342,0.00558,0.773,0.3166,31.48,66.87,0.0732
630,low,10,0.7192,0.5935,0.03248,0.00178,0.9249,0.3788,17.01,45.56,0.0527,0.1469,0.00348,0.7582,0.3106,32.54,71.55,0.0833
